Hybridization REF	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1305	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1306	25	7.491966	N	93	10.168092	N	84	14.928421	N	86	8.943441	N
hsa-mir-1307	2169	650.002937	N	8712	952.520588	N	8694	1545.091562	N	8868	922.214321	N
hsa-mir-130a	295	88.405194	N	990	108.240976	N	1713	304.433155	N	1644	170.965307	N
hsa-mir-130b	16	4.794858	N	291	31.816287	N	255	45.318421	N	230	23.918504	N
hsa-mir-132	185	55.440546	N	1028	112.395680	N	533	94.724385	N	888	92.346224	N
hsa-mir-1321	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1322	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1323	0	0.000000	N	0	0.000000	N	0	0.000000	N	10	1.039935	N
hsa-mir-1324	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-133a-1	136	40.756293	Y	64	6.997396	Y	89	15.817017	Y	46	4.783701	Y
hsa-mir-133a-2	4	1.198714	Y	3	0.328003	Y	1	0.177719	Y	0	0.000000	N
hsa-mir-133b	14	4.195501	Y	6	0.656006	Y	7	1.244035	Y	4	0.415974	Y
hsa-mir-134	334	100.092661	N	373	40.781701	N	333	59.180526	N	546	56.780449	N
hsa-mir-135a-1	10	2.996786	N	19	2.077352	N	52	9.241403	N	22	2.287857	N
hsa-mir-135a-2	1	0.299679	N	0	0.000000	N	5	0.888596	N	1	0.103993	N
hsa-mir-135b	7	2.097750	N	94	10.277426	N	131	23.281228	N	63	6.551590	N
hsa-mir-136	18	5.394215	N	18	1.968018	N	13	2.310351	N	50	5.199675	N
hsa-mir-137	0	0.000000	N	0	0.000000	N	4	0.710877	N	4	0.415974	N
hsa-mir-138-1	1	0.299679	N	3	0.328003	N	26	4.620702	N	10	1.039935	N
